edu.ncsu.lib.bliss/:http {'arcFileParition': 1300, 'compressedSize': 5686, 'arcSourceSegmentId': 1346823846039, 'arcFileDate': 1346871589474, 'arcFileOffset': 11123035}
edu.ncsu.lib.blogs/:http {'arcFileParition': 200, 'compressedSize': 2062, 'arcSourceSegmentId': 1346876860565, 'arcFileDate': 1346911439829, 'arcFileOffset': 1518768}
edu.ncsu.lib.d/:http {'arcFileParition': 2132, 'compressedSize': 855, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908147933, 'arcFileOffset': 2759941}
edu.ncsu.lib.d/collections/:http {'arcFileParition': 2132, 'compressedSize': 5165, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908633502, 'arcFileOffset': 81186482}
edu.ncsu.lib.d/collections/catalog/0228376:http {'arcFileParition': 2132, 'compressedSize': 5738, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908633502, 'arcFileOffset': 60135728}
edu.ncsu.lib.d/collections/catalog/bh2127pnc001:http {'arcFileParition': 2132, 'compressedSize': 6003, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908633502, 'arcFileOffset': 27791779}
edu.ncsu.lib.d/collections/catalog/unccmc00145-002-ff0003-002-004_0002:http {'arcFileParition': 2132, 'compressedSize': 6456, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909064600, 'arcFileOffset': 7308443}
edu.ncsu.lib.databases/:http {'arcFileParition': 76, 'compressedSize': 5688, 'arcSourceSegmentId': 1346823846039, 'arcFileDate': 1346870337194, 'arcFileOffset': 37040682}
edu.ncsu.lib.dewey/:http {'arcFileParition': 91, 'compressedSize': 3518, 'arcSourceSegmentId': 1346876860565, 'arcFileDate': 1346911350115, 'arcFileOffset': 12306188}
edu.ncsu.lib.dli/:http {'arcFileParition': 111, 'compressedSize': 8145, 'arcSourceSegmentId': 1346876860565, 'arcFileDate': 1346912012054, 'arcFileOffset': 33421587}
edu.ncsu.lib.ematb/:http {'arcFileParition': 2406, 'compressedSize': 8148, 'arcSourceSegmentId': 1346876860565, 'arcFileDate': 1346912897864, 'arcFileOffset': 3558854}
edu.ncsu.lib.etd/:http {'arcFileParition': 127, 'compressedSize': 8145, 'arcSourceSegmentId': 1346876860565, 'arcFileDate': 1346911364225, 'arcFileOffset': 44478122}
edu.ncsu.lib.ftp/:http {'arcFileParition': 2406, 'compressedSize': 8146, 'arcSourceSegmentId': 1346876860565, 'arcFileDate': 1346912345778, 'arcFileOffset': 47456366}
edu.ncsu.lib.geodata/dem/nc_20f:http {'arcFileParition': 2856, 'compressedSize': 1811, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908221607, 'arcFileOffset': 6214663}
edu.ncsu.lib.geodata/drg/historic/abingdon-1911.jp2:http {'arcFileParition': 2855, 'compressedSize': 1877428, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909324920, 'arcFileOffset': 77806667}
edu.ncsu.lib.geodata/drg/historic/abingdon-1911_lnr.jp2:http {'arcFileParition': 2855, 'compressedSize': 2094645, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909324920, 'arcFileOffset': 43531198}
edu.ncsu.lib.geodata/drg/historic/acme-1954.jp2:http {'arcFileParition': 2856, 'compressedSize': 1879063, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908739419, 'arcFileOffset': 13718497}
edu.ncsu.lib.geodata/drg/historic/acme-1954_lnr.jp2:http {'arcFileParition': 2857, 'compressedSize': 2095339, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908221884, 'arcFileOffset': 55294224}
edu.ncsu.lib.geodata/drg/historic/albemarle-1957.jp2:http {'arcFileParition': 2856, 'compressedSize': 1877742, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909346113, 'arcFileOffset': 75913764}
edu.ncsu.lib.geodata/drg/historic/albemarle-1957_lnr.jp2:http {'arcFileParition': 2857, 'compressedSize': 2094998, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908963091, 'arcFileOffset': 36152340}
edu.ncsu.lib.geodata/drg/historic/arringdale-1942.jp2:http {'arcFileParition': 2857, 'compressedSize': 1878026, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908692209, 'arcFileOffset': 55477325}
edu.ncsu.lib.geodata/drg/historic/arringdale-1942_lnr.jp2:http {'arcFileParition': 4195, 'compressedSize': 2095113, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908767525, 'arcFileOffset': 8000864}
edu.ncsu.lib.geodata/drg/historic/asheboro-1957.jp2:http {'arcFileParition': 4195, 'compressedSize': 1878401, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909461196, 'arcFileOffset': 34670915}
edu.ncsu.lib.geodata/drg/historic/asheboro-1957_lnr.jp2:http {'arcFileParition': 4195, 'compressedSize': 2095330, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909225430, 'arcFileOffset': 48760146}
edu.ncsu.lib.geodata/drg/historic/asheville-1901.jp2:http {'arcFileParition': 2875, 'compressedSize': 1877802, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908635946, 'arcFileOffset': 45370118}
edu.ncsu.lib.geodata/drg/historic/asheville-1901_lnr.jp2:http {'arcFileParition': 2875, 'compressedSize': 2094850, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908439139, 'arcFileOffset': 69204555}
edu.ncsu.lib.geodata/drg/historic/atkinson-1955.jp2:http {'arcFileParition': 2875, 'compressedSize': 1879799, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346909117965, 'arcFileOffset': 69759622}
edu.ncsu.lib.geodata/drg/historic/atkinson-1955_lnr.jp2:http {'arcFileParition': 2876, 'compressedSize': 2095111, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908972581, 'arcFileOffset': 27212582}
edu.ncsu.lib.geodata/drg/historic/ayden-1902.jp2:http {'arcFileParition': 2876, 'compressedSize': 1879972, 'arcSourceSegmentId': 1346876860782, 'arcFileDate': 1346908675513, 'arcFileOffset': 55367760}
